301 13.97998
302 19.95091
303 8.713634
304 13.03767
305 13.98109
306 13.94979
307 14.31435
308 13.35886
309 14.04338
310 13.82164
311 14.29575
312 16.05281
313 11.53042
314 13.9003
315 13.96057
316 13.8519
317 14.14368
318 13.96384
319 13.97859
320 13.71552
321 13.73293
322 14.97788
323 13.56559
324 13.80882
325 13.96402
326 13.83728
327 13.93971
328 13.85574
329 13.87859
330 14.21436
331 13.85723
332 30.21418
333 6.908763
334 15.96462
335 13.97573
336 14.16087
337 14.20396
338 13.83448
339 13.63237
340 13.96678
341 13.99005
342 47.99731
343 6.560677
344 16.53097
345 13.51374
346 17.42811
347 13.86751
348 14.14156
349 13.91679
350 17.10025
351 17.77627
352 100
353 9.990572
354 23.02452
355 20.56955
356 13.96206
357 21.08117
358 17.16935
359 14.24389
360 20.5981
361 17.28925
362 99.93686
363 7.526329
364 19.22071
365 13.91557
366 14.35023
367 13.76548
368 14.08241
369 13.86185
370 13.59461
